Motif_id	Feature_1	Feature_2	Feature_3	Feature_4	Feature_5	Feature_6	Feature_7	Feature_8	Feature_9	Feature_10	Feature_11	Feature_12	Feature_13	Feature_14	Feature_15	Feature_16	Feature_17	Feature_18	Feature_19	Feature_20	Feature_21	Feature_22	Feature_23	Feature_24	Feature_25	Feature_26	Feature_27	Feature_28	Feature_29	Feature_30	Feature_31	Feature_32	Feature_33	Feature_34	Feature_35	Feature_36	Feature_37	Feature_38	Feature_39	Feature_40	Feature_41	Feature_42	Feature_43	Feature_44	Feature_45	Feature_46	Feature_47	Feature_48	Feature_49	Feature_50	Feature_51	Feature_52	Feature_53	Feature_54	Feature_55	Feature_56	Feature_57	Feature_58	Feature_59	Feature_60	Feature_61	Feature_62	Feature_63	Feature_64	Feature_65	Feature_66	Feature_67	Feature_68	Feature_69	Feature_70	Feature_71	Feature_72	Feature_73	Feature_74	Feature_75	Feature_76	Feature_77	Feature_78	Feature_79	Feature_80	Feature_81	Feature_82	Feature_83	Feature_84	Feature_85	Feature_86	Feature_87	Feature_88	Feature_89	Feature_90	Feature_91	Feature_92	Feature_93	Feature_94	Feature_95	Feature_96	Feature_97	Feature_98	Feature_99	Feature_100	Feature_101	Feature_102	Feature_103	Feature_104	Feature_105	Feature_106	Feature_107	Feature_108	Feature_109	Feature_110	Feature_111	Feature_112	Feature_113	Feature_114	Feature_115	Feature_116	Feature_117	Feature_118	Feature_119	Feature_120	Feature_121	Feature_122	Feature_123	Feature_124	Feature_125	Feature_126	Feature_127	Feature_128	Label
IL_Graph_1386	-0.0011467725	 -0.005567121	 -0.009951216	 0.6587313	 0.40833154	 0.5432364	 -0.006957743	 2.4494622	 -0.023261534	 -0.0008119495	 0.217945	 -0.0011599283	 3.3257303	 -2.844721e-05	 0.68226063	 0.7619996	 2.0298696	 3.9351356	 -0.012569027	 0.08617018	 0.41350842	 1.2567463	 0.044239238	 -0.016487509	 -0.016998753	 1.8727357	 -0.0033986915	 -0.0101202	 0.9358622	 1.5964086	 2.7753668	 -0.025232572	 -0.0059630293	 -0.0025635606	 -0.030041354	 1.6782027	 0.9406767	 -0.0010384507	 2.0874112	 0.837878	 -0.009831684	 0.48804122	 1.548227	 -0.0035752256	 -0.0009988677	 2.0067904	 -0.01570616	 -0.007541513	 0.9058624	 0.34820336	 -0.026365928	 2.898949	 0.7013306	 -0.01725908	 0.17251146	 2.1878827	 0.58159995	 0.7632027	 0.11243089	 0.864925	 -0.0116701545	 -0.016934615	 3.163047	 1.8246716	 3.428274	 2.5489595	 -0.0011579442	 0.20882593	 -0.012694855	 0.80274653	 1.80174	 -0.00026462384	 -0.017915405	 2.3314826	 0.060171492	 -0.020938098	 0.015150495	 -0.0035898623	 -0.0062004104	 -0.019274497	 -0.0056744018	 -0.016032355	 2.5231779	 -0.0017025976	 -0.009820834	 1.7783482	 -0.010705269	 1.101892	 -0.02805362	 -0.026562614	 1.9870857	 -0.004612272	 1.76525	 0.0857897	 0.013705928	 1.1764317	 -0.021988617	 -0.004830316	 1.1954447	 0.012392785	 0.71189064	 -0.009918932	 5.570469	 1.95897	 1.8837802	 0.43354413	 -0.03808215	 1.0890334	 0.9769732	 -0.048749022	 -0.0056687403	 -0.0016238155	 -0.0028501668	 -0.0015696633	 -0.012104784	 1.289416	 3.3465288	 -0.0022231766	 0.56942904	 -0.0013137844	 0.13960227	 -0.0019061482	 -0.0013128937	 -0.009721694	 -0.0005521444	 1.172245	 0.3831958	 1.0057579	IL
IL_Graph_1288	-0.012684537	 2.5149107	 -0.00018127356	 -0.00417203	 2.061978	 1.3235654	 0.7519573	 0.13317248	 -0.00881967	 0.7462398	 -0.0078956485	 1.3376709	 -0.0141782435	 -0.0049325633	 0.568824	 -0.009808206	 -0.00058890117	 -0.0016509034	 0.029909002	 0.058910105	 -0.024864972	 1.2247514	 -0.01292959	 0.90293753	 -0.003954667	 -0.028667629	 -0.008326784	 -0.017307302	 2.0246952	 0.17989652	 -0.010789967	 0.687792	 0.48089966	 -0.010302204	 -0.00035863408	 -0.004471857	 -0.014932185	 2.2036586	 0.821409	 2.808611	 -0.0071386355	 2.317197	 -0.003277016	 1.5645275	 -0.0026836859	 0.42022705	 1.4241852	 0.41015953	 0.64910007	 0.054276	 -0.010000779	 0.81144613	 0.16088575	 1.0989444	 -1.8577137e-05	 0.48419702	 1.8057816	 1.8761566	 -0.017865492	 1.1719729	 0.5523257	 -0.00024199413	 0.31475273	 -0.022170706	 1.4914193	 -0.030159041	 -0.011540362	 1.9686304	 1.007066	 -0.009476025	 -0.0010663797	 2.657239	 -0.008857769	 -0.0027226985	 0.2229121	 1.468335	 1.1194099	 1.587543	 0.44769314	 0.20058519	 0.33623964	 1.8649046	 -0.030655121	 1.644551	 1.5548128	 0.22980206	 0.016619466	 0.049963437	 2.0868015	 0.86472785	 -0.005790517	 -0.00022362496	 -0.007900859	 -0.0013767475	 0.5281774	 1.1281766	 1.2598727	 1.0972407	 -0.026698777	 0.5688906	 0.65938985	 1.4503322	 -0.0038833267	 -0.0055176467	 1.1816919	 0.13598306	 -0.010987961	 2.0085008	 1.6166759	 -0.0031450365	 1.7885103	 1.6255314	 3.5596623	 0.65238845	 0.048575915	 -0.016058708	 0.6260195	 0.5090525	 0.20122394	 0.8605396	 0.12165942	 1.7687571	 -0.0026103905	 2.1737068	 0.08143245	 -0.0036241773	 2.6332693	 1.2255929	IL
IL_Graph_820	-0.010402591	 3.0549686	 -0.014118289	 -0.007990972	 6.29554	 2.8462102	 2.502885	 -0.0076744305	 -0.024741653	 3.3937335	 -0.008763653	 -0.0052226586	 4.075555	 3.4555898	 -0.024956407	 -0.01034307	 0.3460932	 1.0244875	 -0.007870714	 0.0029999092	 -0.032562762	 0.38064814	 -0.034995638	 -0.008188448	 -0.0050859605	 -0.0055158488	 -0.02264661	 -0.0080269575	 1.6466548	 -0.0032324593	 -0.013567936	 0.76285404	 -0.010812763	 -0.034237154	 -0.017014325	 -0.010183638	 0.6638007	 1.4320421	 4.113466	 -0.006671478	 2.2094858	 5.482108	 -0.0019944352	 2.163444	 -0.010239135	 -0.013219804	 2.083221	 -0.01292613	 -0.0016342074	 0.790767	 -0.010310037	 0.90835387	 -3.2088457e-05	 0.30949238	 1.0300618	 3.2664518	 0.034278307	 5.574777	 -0.016627634	 -0.009365049	 1.868835	 0.37288743	 3.0197496	 -0.010404686	 2.356872	 -0.0135104535	 0.5889041	 4.4217906	 -0.034350988	 -0.014643612	 3.0870814	 5.268645	 -0.027739262	 2.1905143	 1.7481705	 1.943433	 3.4839995	 0.69637054	 -0.0073651318	 -0.030590765	 -0.0076699094	 2.080209	 -0.01641765	 -0.014169447	 2.8936543	 -0.0024009128	 -0.006632875	 1.836635	 2.380295	 -0.006595316	 -0.008191086	 -0.0024899642	 0.9857233	 -0.010174335	 -0.0012469953	 1.491481	 -0.016945869	 2.8854504	 -0.01767924	 -0.0017753846	 -0.014120958	 2.2592053	 3.92392	 1.6022061	 2.0883784	 -0.002776444	 -0.02591	 6.717638	 4.231688	 -0.0257495	 -0.008701867	 0.55179244	 4.3549576	 -0.007669239	 -0.0027212068	 -0.03219043	 1.7706788	 -0.003775648	 -0.038644526	 2.361455	 0.23726928	 0.21218906	 -0.011212035	 3.752726	 2.238064	 0.8636036	 0.6656305	 2.373827	IL
IL_Graph_481	-0.018300189	 1.4278206	 1.7963706	 -0.009636197	 3.0360465	 1.0134468	 1.2753384	 -0.010734484	 -0.026588427	 4.4945884	 -0.011385156	 -0.00039348355	 3.8056116	 4.004366	 -0.033075258	 0.27036923	 -0.0033842858	 2.8037465	 -0.0062723192	 -0.013941991	 -0.025360323	 1.7166722	 -0.013522235	 -0.004036983	 -0.013520055	 0.92214984	 -0.026380397	 -0.009287965	 0.23647752	 -0.007456796	 -0.011505314	 1.8712479	 -0.008253704	 -0.031207921	 -0.0076248487	 -0.018720299	 -0.004590331	 1.7846382	 2.8562427	 -0.019077728	 2.59037	 2.528198	 -0.010809298	 2.251594	 -0.01165767	 -0.021460058	 3.035045	 -0.0022869797	 -0.0021343208	 0.36315325	 -0.0038892718	 -0.018468907	 -0.006005654	 1.0626594	 -0.00176371	 1.1873981	 1.1137153	 2.2545342	 -0.013873155	 -0.0053631966	 1.8751215	 -0.017149113	 3.339181	 0.3471814	 0.5319104	 1.757545	 0.18133894	 3.6850004	 -0.024008172	 -0.010645106	 1.1403171	 2.490027	 -0.021447107	 1.1629771	 0.8276357	 3.6769671	 2.3603628	 -0.008794646	 -0.009203095	 -0.01767376	 0.31741503	 1.2729743	 -0.007211452	 0.02893076	 2.883802	 -0.0061042095	 1.0858264	 2.1349475	 2.4903378	 -0.0033313818	 -0.006936632	 0.467941	 2.4648938	 0.09085893	 -0.00057865126	 0.9414217	 -0.04094698	 3.237169	 0.4642202	 1.1303587	 1.1611784	 3.154526	 2.5195239	 0.33273268	 -0.0048996783	 -0.00600404	 -0.040672243	 3.32481	 4.2538323	 -0.0053174705	 -0.03244787	 0.48238036	 2.4288769	 -0.013333567	 -0.018843893	 -0.040051945	 0.85113066	 -0.0040903524	 -0.03294335	 3.3125293	 0.14439407	 0.5553446	 -0.00065447734	 2.327674	 1.6468928	 -0.008569896	 1.9777532	 1.7066683	IL
IL_Graph_2023	0.46016216	 3.595955	 1.9039909	 1.1668997	 0.0924725	 -0.00582995	 -0.0172071	 1.9823992	 0.44091773	 3.152989	 -0.0017693453	 1.0280684	 -0.0209611	 -0.028457515	 2.0006046	 -0.009857774	 -0.0075391745	 -0.0025028535	 1.1499327	 -0.0037549092	 -0.0007712402	 3.7743413	 -0.0060165403	 -0.010935375	 -0.00038963414	 -0.026012506	 0.1042522	 -0.017334277	 2.8590732	 1.5198637	 0.20283586	 0.10335305	 3.040013	 1.095887	 1.3261104	 -0.022033725	 -0.016350627	 4.880673	 -0.025304312	 2.4042916	 -0.019910783	 0.014008214	 -0.027255919	 2.7893198	 1.2289387	 -0.011368246	 1.1728481	 2.334404	 0.05084103	 0.85801274	 -0.017433725	 -0.0017101706	 3.688674	 -0.0007634639	 0.24128985	 -0.023153009	 2.439932	 -0.006407983	 -0.009371726	 2.5267303	 0.073021196	 -0.008961653	 0.5004758	 -0.018350633	 1.4328886	 0.44484115	 -0.0016160738	 1.4274744	 2.9709642	 0.99266243	 -0.004063441	 1.117479	 -0.0044991914	 1.1325526	 -0.020604528	 -0.020873005	 -0.004227024	 0.17897923	 0.8436399	 1.6470336	 2.507728	 1.1729254	 -0.027099662	 3.5367033	 2.106185	 2.41084	 -0.008601196	 -0.021331275	 -0.01579015	 1.6246896	 -0.0036360933	 2.1221743	 -0.009205977	 -0.020397449	 2.7387373	 1.9179153	 -0.018642379	 -0.004883349	 -0.020525439	 1.5731163	 3.1942682	 0.5148568	 -0.0057167923	 -0.012262583	 -0.016149445	 -0.007888242	 0.19169597	 -0.0055977157	 1.2124168	 2.3314505	 1.4364448	 -0.0018033109	 2.8260348	 1.9146941	 0.77966946	 1.1604127	 3.3180993	 1.3375088	 3.1542482	 1.5891937	 -0.005495591	 3.6294067	 -0.0068191397	 1.4027277	 -0.007292987	 -0.003252378	 4.0397906	 3.871634	IL
IL_Graph_2177	-0.011470651	 2.1358914	 0.99333763	 0.8088625	 3.5704143	 1.045526	 2.1107693	 -0.0099315755	 -0.0116211595	 2.3389902	 0.23203765	 0.4946942	 0.70433277	 0.56915176	 -0.0142595405	 -0.0057868734	 0.31910408	 -0.009015561	 -0.0050181863	 -0.011130811	 -0.039300606	 1.6898702	 -0.005592519	 -0.011240077	 -0.011068942	 -0.013138477	 -0.006901477	 -0.00927218	 0.67680305	 0.012370021	 -0.015340414	 2.5992506	 1.208071	 -0.016491884	 -0.006416687	 -0.01006523	 -0.013991603	 2.2296655	 1.6952877	 1.5919192	 0.32864124	 2.75451	 0.27447346	 2.2614098	 0.22730303	 -0.006030119	 2.029732	 -0.010037367	 0.184153	 0.799686	 -0.01024057	 0.6924647	 -0.000637278	 0.9022243	 -0.004092379	 1.1771584	 1.3637239	 2.1295316	 -0.006075308	 -0.005750659	 0.7221997	 -0.01149986	 0.1789829	 -0.016028486	 1.8095747	 -0.010427922	 -0.008390979	 2.8583856	 0.8202174	 -0.011837249	 0.27061298	 0.5157884	 -0.018065395	 -0.0073391115	 -0.009691462	 3.5541856	 1.7033013	 -0.0007388162	 -0.0031843036	 0.29367393	 1.1768842	 2.1296537	 -0.019867122	 1.5698649	 1.9045656	 -0.0077678156	 0.39114225	 1.0478588	 2.5521128	 0.86835283	 -0.02199701	 -0.0031847234	 -0.005159445	 0.22642842	 -0.005972796	 2.3015	 -0.012023103	 1.5104159	 -0.019012997	 0.13094743	 1.2756854	 2.868233	 1.4765186	 0.3274881	 0.418064	 -0.009576887	 -0.01740674	 2.2197974	 1.3956279	 0.7394156	 0.4497931	 0.19901523	 3.197643	 -0.0031041284	 0.20713247	 -0.018495977	 -0.0017826328	 1.8720601	 0.11996549	 0.43753883	 0.61053795	 1.8259434	 0.074141145	 2.4171493	 1.2994508	 -0.014064357	 1.3067868	 0.95315504	IL
IL_Graph_273	-0.0034307786	 0.9617652	 3.2060149	 0.53824013	 0.13100845	 1.0282371	 2.0925884	 1.6363194	 1.2441437	 2.3859575	 2.391886	 0.35267282	 5.366404	 2.492917	 -0.002926733	 2.9552252	 -0.0073741917	 3.0900707	 -0.008092131	 0.76349765	 2.923701	 2.3318946	 1.1636214	 -0.0016693941	 -0.008513774	 4.4882927	 0.35016015	 0.07219566	 -0.0056761107	 2.493528	 2.4755692	 0.19340758	 2.650518	 0.26281935	 -0.0063816244	 -0.026704894	 2.6874313	 2.1763768	 2.387886	 -0.008094002	 1.6090096	 0.10886607	 -0.018067306	 -0.0060520936	 0.2057209	 0.15257223	 0.3400973	 -0.0043599308	 0.5893062	 0.8417994	 -0.0006864689	 -0.005555615	 1.3345342	 -0.016241223	 -0.016873576	 -0.010451834	 2.0186732	 -0.018693984	 0.52538383	 0.15797149	 1.1423514	 0.46315175	 1.2252342	 0.97514385	 2.196561	 4.775477	 0.131928	 2.0234642	 -0.00020319744	 1.8262079	 0.59764105	 0.25838864	 -0.016019464	 3.0764122	 -0.0051236674	 -0.014282601	 0.37867582	 -0.0013503365	 0.97278047	 0.5877582	 1.3603572	 -0.01121558	 2.371078	 0.62406504	 0.29193452	 0.24816303	 -0.00033524327	 1.0766726	 -0.013209301	 -0.026621593	 4.031806	 0.47679764	 3.4957993	 -0.0015547214	 2.5628746	 0.50605565	 -0.038593974	 -0.0063693887	 2.7043347	 2.0731788	 1.1970253	 0.7680432	 5.2635884	 2.5622325	 1.4369206	 0.47156212	 -0.04793079	 -0.017007928	 0.73400354	 -0.010512791	 -0.035600003	 -0.011425018	 -0.0006282629	 0.75402135	 -0.003902874	 0.7747528	 4.4447093	 0.45361096	 0.6015626	 2.8773603	 -0.0049680416	 0.23703428	 1.1304297	 -0.012805715	 0.98879397	 0.05808585	 0.9625757	 2.839468	IL
IL_Graph_2144	2.1418724	 0.20352337	 0.11561596	 0.38999003	 -0.012029812	 -0.002340661	 -0.026480721	 1.4189187	 -0.0069798557	 0.7876437	 -0.024773913	 2.4551396	 -0.019017143	 -0.025803562	 2.8984344	 -0.007640752	 -0.008055031	 0.7253258	 -0.00437713	 -0.014186191	 1.4381812	 1.1033163	 -0.005159893	 -0.023853537	 -0.009234198	 -0.012723853	 1.0809649	 -0.009510418	 0.594535	 1.1223762	 -0.004310553	 0.4005637	 1.4901555	 1.4201527	 1.8720158	 -0.015590665	 -0.004512368	 1.4169767	 -0.018604737	 0.14876065	 -0.028242735	 -0.01931103	 -0.009534291	 1.2502941	 0.58898556	 -0.0012515783	 0.06432949	 1.9497077	 -0.010010397	 0.26660973	 -0.019527595	 1.1446176	 2.635374	 -0.0055513033	 0.2228255	 -0.010286919	 1.8503956	 -0.019227393	 -0.006665037	 3.7059388	 0.6030397	 -0.010889388	 -0.0046953713	 -0.0060789655	 2.3599606	 0.05356983	 0.91136616	 -0.00806652	 1.7627006	 1.2342579	 -0.009483136	 -0.007231325	 0.02181802	 0.51881546	 -0.02571034	 -0.024752375	 -0.0031969494	 -0.021820087	 -0.007519974	 1.5201948	 0.2563192	 0.91654545	 -0.0009960365	 1.9041905	 0.95079464	 1.0003117	 -0.004032584	 0.4071184	 -0.026072465	 1.5213321	 -0.008628784	 1.1150575	 -0.003135644	 -0.023460636	 3.0433078	 1.1894668	 -0.025929421	 -0.013699116	 0.44357106	 0.26475716	 2.2690732	 -0.016214741	 0.26837805	 -0.010615724	 -0.0018213056	 -0.011212666	 1.4170356	 -0.01197551	 0.8722984	 3.3325977	 1.2525071	 -0.008096194	 1.6190728	 2.2051117	 -0.0006193049	 2.7094197	 2.2912138	 0.40421218	 2.7401354	 0.30862838	 -0.009695649	 1.251953	 0.5317554	 -0.0012316793	 -0.0022539995	 -0.00035567905	 1.0774266	 1.410276	IL
IL_Graph_135	1.6623392	 0.92226213	 -0.008750755	 0.80228966	 1.0810893	 -0.00846136	 -0.005282856	 1.4370449	 -0.01623655	 2.543083	 -0.0059353095	 1.8418376	 1.8818607	 -0.023074158	 -0.00010391496	 -0.0045702173	 -0.008082662	 1.3297455	 0.2442633	 -0.004909173	 -0.020867381	 3.6183631	 -0.016705047	 -0.032378137	 -0.02832309	 -0.012747933	 0.8850608	 -0.03395684	 3.9395704	 1.4472802	 1.9316919	 2.5662715	 4.856926	 -0.04136225	 0.5222848	 -0.017419104	 2.1938183	 3.1171532	 0.2288534	 0.5973087	 -0.015144671	 2.5045333	 -0.029530058	 0.4835273	 1.1232497	 -0.00704821	 1.2236512	 0.31541649	 1.0319184	 2.2003345	 -0.021968517	 2.0960183	 4.7579503	 -0.023703719	 2.1141837	 -0.022151925	 2.574582	 0.30175796	 -0.014664794	 1.0273544	 2.8927922	 -0.003903899	 1.4458063	 -0.0059451917	 3.164583	 0.8673183	 -0.015323841	 2.6900678	 0.6875778	 1.1737951	 1.9262437	 4.7874846	 -0.027829759	 3.17183	 -0.015975624	 -0.018763628	 -0.0031730484	 0.3917277	 -0.013774851	 -0.0031630301	 0.6304979	 -0.008104839	 0.48033378	 -0.011124791	 2.7520213	 3.5535052	 -0.043286078	 -0.011086938	 -0.05358333	 -0.0011237771	 1.5119152	 0.9647776	 2.198619	 -0.041470144	 3.3999631	 4.037607	 -0.034022417	 0.48731428	 0.017091136	 1.7216841	 2.7088645	 -0.019651001	 5.148043	 0.8565213	 -0.016254475	 -0.00028389652	 -0.022481807	 2.1331928	 2.0929275	 -0.006538455	 -0.0067107766	 -0.0074190446	 4.267699	 1.9404705	 -0.010248036	 1.10022	 3.4655247	 1.6077228	 0.2966088	 1.0228682	 -0.012744565	 3.2559283	 0.698975	 2.9398088	 0.5221225	 0.07254692	 4.0124693	 3.8566127	IL
IL_Graph_315	1.8447206	 2.2270014	 2.033206	 -0.00089809333	 -0.008614159	 -0.0015115936	 -0.0024090402	 -0.006709248	 1.6282336	 0.1320267	 1.3931594	 0.8240098	 -0.008319852	 -0.011775361	 1.701095	 2.0151577	 -0.010178372	 -0.009424399	 1.6105498	 2.364979	 3.5452092	 0.65805167	 0.44046852	 1.4184998	 2.422731	 1.8016557	 0.52199304	 0.16689064	 0.073372796	 0.30096334	 1.3402833	 -0.007780073	 -0.00903439	 2.170757	 2.3465397	 -0.011080036	 -0.0052303504	 0.073873505	 -0.020797357	 -0.0023648508	 1.5356827	 0.3975887	 -0.03198103	 0.8070962	 1.2146086	 -0.0033669292	 -0.0090293735	 2.2677689	 0.74634653	 1.5435734	 0.61330444	 -0.015278523	 -0.012593956	 1.1994274	 -0.0021349504	 -0.023840507	 0.13663743	 -0.0054563414	 -0.009228921	 0.9191844	 -0.0051508145	 1.2112195	 -0.0058127576	 -0.00514499	 -0.006661605	 1.1658896	 0.80249923	 -0.004532667	 1.285421	 0.65028685	 -0.0024201353	 0.092906125	 1.6995713	 0.9838816	 -0.004689091	 -0.0067031756	 2.7538025	 -0.008705852	 1.0723819	 1.9262341	 2.5192015	 -0.015698014	 0.18063048	 1.4451833	 0.6787643	 1.1352291	 -0.0071103773	 -0.011161197	 -0.0015288453	 1.4947749	 2.4151917	 -0.0009325855	 -0.01672476	 0.5868441	 -0.0017633664	 0.67433137	 0.33220288	 0.48597634	 0.59904915	 -0.0021550122	 -0.01010862	 -0.004332434	 0.21005307	 -0.013180609	 -0.011601605	 0.20376448	 1.7533126	 -0.020437466	 -0.009165011	 2.1963606	 0.7968013	 -0.0012711154	 -0.01418214	 1.3916138	 0.30410245	 1.6207834	 0.63099843	 -0.0030084285	 2.126149	 0.80414844	 -0.012333118	 1.4097064	 0.891453	 0.23161322	 -0.008193677	 0.9021622	 -0.0061217216	 1.8406011	IL
IL_Graph_1016	4.396492	 -0.022346156	 -0.015382572	 -0.014028026	 -0.007189585	 -0.015110721	 -0.03370048	 -0.018498428	 -0.022828825	 -0.03160258	 -0.016526353	 2.6791465	 -0.025820421	 -0.026297692	 2.7703872	 1.2677708	 -0.018384341	 -0.0062972107	 2.5207858	 -0.023879599	 3.4879255	 -0.026205488	 -0.0044446695	 -0.019906575	 -0.0025567242	 -0.004781805	 0.7517362	 -0.011602257	 -0.017896092	 -0.022001388	 -0.029292354	 -0.031028153	 -0.03232317	 2.7213163	 3.774374	 -0.0013084532	 -0.0015217945	 -0.03313313	 -0.05072976	 -0.031360958	 -0.016382461	 -0.023815185	 1.4475356	 -0.011469628	 0.14414516	 0.59926337	 -0.024167534	 1.9707679	 -0.025164938	 -0.0073320484	 -0.032032542	 -0.014611523	 -0.016876584	 0.8366071	 2.2197456	 -0.011943234	 -0.010028543	 -0.02707003	 -0.017234515	 4.0380015	 -0.016163787	 0.80196357	 -0.0013816474	 0.10419248	 -0.0055814227	 -0.026195657	 2.7164273	 -0.021240065	 -0.020583425	 -0.009133523	 0.22960371	 -0.026808996	 3.3360581	 -0.0012697258	 -0.016779268	 -0.021262133	 0.14969458	 -0.039191466	 -0.02051672	 -0.000772693	 -0.03414813	 0.7372562	 2.5385697	 -0.022134475	 1.2031498	 -0.009156094	 0.721909	 2.1366532	 -0.016677614	 4.1160283	 -0.009693267	 -0.0051240413	 -0.01926967	 -0.0147895655	 2.3393333	 -0.013491018	 -0.01618111	 -0.0065436354	 1.453255	 -0.011190037	 -0.031185644	 -0.037828065	 -0.033545494	 -0.023072835	 2.252813	 -0.009718896	 5.0830145	 -0.02313968	 0.04970167	 4.074995	 2.7035155	 1.3942524	 -0.015397815	 1.3880706	 -0.010476259	 3.0103195	 -0.025256395	 -0.019781167	 1.2566702	 -0.03220687	 -0.0018420132	 -0.03058024	 3.6779342	 -0.02593996	 0.29266876	 1.5789857	 -0.044295363	 -0.023763921	IL
IL_Graph_66	0.6476133	 1.027306	 2.2048388	 -0.008634448	 0.79047966	 -0.016269343	 -0.0015686213	 -0.01269235	 2.119058	 -0.009148791	 3.8443363	 -0.021753788	 -0.0147422645	 -0.009928573	 -0.0008184543	 -0.0064612017	 -0.0102716945	 -0.0038967382	 -0.018394247	 4.5946507	 3.572273	 0.3041828	 4.1393456	 0.1921897	 2.1656501	 4.370551	 0.25118187	 2.401746	 -0.01943577	 0.5107691	 1.4350892	 3.075383	 1.4137639	 3.0800164	 2.2873042	 0.57660544	 0.5103688	 -0.0072890567	 -0.023493621	 0.6019673	 -0.012470913	 -0.006668614	 -0.024341868	 -0.0028900504	 3.0157433	 -0.011608279	 0.28904343	 -0.0023942254	 0.47233573	 1.6413687	 2.1799386	 1.1549718	 0.7988878	 2.257187	 -0.029109132	 -0.0029290926	 -0.039009	 -0.022107229	 4.154741	 1.9252377	 -0.014673693	 -0.002100489	 -0.02406255	 -0.017905736	 0.42628163	 0.16407862	 0.48262963	 1.1069347	 2.6441083	 -0.00092375546	 -0.000433061	 -0.01380377	 1.4566877	 -0.020594263	 -0.025405977	 2.3744576	 1.4214536	 -0.024178345	 2.6431224	 3.7376	 3.61088	 -0.007508225	 0.27141544	 3.6481242	 -0.02585642	 0.19983183	 -0.004702372	 1.5757356	 4.748609	 2.7013764	 -0.006285299	 -0.02904629	 0.43316403	 4.8669963	 -0.0025221654	 -0.009391153	 -0.043634605	 -0.001191988	 0.7472612	 -0.0029881322	 -0.0044811754	 1.3771157	 0.18891339	 3.3100948	 0.27137327	 1.1994019	 3.4386425	 -0.036104728	 -0.008747494	 2.6457038	 -0.0045210337	 -0.020818617	 -0.012101571	 -0.00558093	 3.8878129	 0.3373336	 -0.0063938377	 -0.008052976	 0.18744437	 1.1474584	 -0.019222774	 -0.013841488	 -0.000718977	 -0.026414752	 -0.006062219	 -0.008299572	 -0.02036398	 1.1769462	IL
IL_Graph_2509	1.6797233	 2.0394802	 2.044201	 0.6510783	 -0.005460078	 0.19009553	 -0.014342614	 1.3005749	 -0.0031551458	 0.83722675	 -0.006714434	 1.7913597	 -0.01773089	 -0.025253162	 1.9210085	 0.33689964	 -0.008490581	 -0.0018888743	 0.36002645	 -0.00060589216	 -0.00037656195	 2.0523393	 -0.0057213376	 -0.0048963465	 -0.007128124	 -0.01647213	 1.547164	 -0.012395638	 1.9843955	 2.018999	 0.31354	 0.78841203	 2.2282245	 0.72304547	 1.4268953	 -0.011748558	 -0.01457483	 2.8046243	 -0.0246173	 1.8233798	 -0.01953503	 -0.0075985757	 -0.011728025	 1.5898916	 1.7858464	 -0.0017687029	 1.1642972	 1.746556	 0.2602113	 0.2848134	 -0.014381154	 -0.0044919006	 3.0588622	 1.1072237	 -0.0077915792	 -0.02050181	 1.9616761	 -0.016981788	 -0.00064045755	 2.2815716	 -0.0011708414	 -0.009120349	 -0.008518416	 -0.010465226	 2.4383178	 -0.002874292	 0.025458716	 0.41553617	 2.2795472	 0.6677466	 -0.0149886785	 0.16104738	 -0.013842779	 0.49527723	 -0.020971624	 -0.008824041	 -0.0012427565	 -0.008544171	 0.8733454	 2.2283716	 1.7713939	 0.5161536	 -0.021646282	 3.1222029	 1.4926287	 1.2038877	 -0.011118307	 -0.012042054	 -0.0069258134	 1.7238389	 -0.002959043	 0.5268347	 -0.004937095	 -0.01073069	 3.1682887	 1.4710908	 -0.011170573	 -0.010682476	 -0.015627587	 1.8232727	 2.1144145	 -0.00066379056	 -0.0059313136	 -0.0050775753	 -0.004882225	 -0.0070713814	 0.379632	 -0.017917322	 1.583582	 2.5221148	 0.9195709	 -0.001670844	 1.5511062	 2.437395	 0.09595038	 1.571188	 2.2748463	 0.6481199	 3.6612616	 1.1858469	 -0.014040744	 2.5891578	 0.8889806	 -0.0011256337	 -0.0054633003	 -0.0049043926	 3.1588316	 2.2140093	IL
